systematic gene name	gene name	total 1		total2		selective 1    		selective 2		ratio 1	ratio 2	average	average [log2]	no. of included values
YAR050W	FLO1	1.2939707282522512	excluded	1.4926938680568782	excluded	4.722883047231045	excluded	1.3145897901119843	excluded	3.649914904651807	0.8806827831504783	2.2652988439011428	1.1797013867723285	0 of 4	
YAR053W	-	10.0511463638988	excluded	11.594763480158983	excluded	0.0	excluded	0.0	excluded	0.0	0.0	0.0	n.a.	0 of 4	
YAR060C	-	0.0	excluded	0.0	excluded	19.45659141064646	excluded	3.6104269592718423	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR061W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR062W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR064W	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR066W	-	458.50964736491323	included	551.4333102181496	included	192.27690335227095	excluded	126.86049237284597	included	0.41935192521531367	0.23005591070053305	0.32470391795792336	-1.6228033022425281	3 of 4	
YAR068W	-	12.2847344447652	excluded	21.257066380291466	excluded	8.967647069927587	excluded	7.488292952563822	excluded	0.7299829809303613	0.3522731132601914	0.5411280470952764	-0.8859580756024382	0 of 4	
YAR069C	-	0.0	excluded	0.0	excluded	0.0	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR070C	-	0.0	excluded	0.0	excluded	7.263794126641345	excluded	0.0	excluded	n.a.	n.a.	n.a.	n.a.	0 of 4	
YAR071W	PHO11	7165.307609802453	included	6840.687477073007	included	3192.6548116455915	included	3201.2452372210446	included	0.4455712141761926	0.4679712745173959	0.4567712443467943	-1.130456264992423	4 of 4	
YAR073W	IMD1	1206.8839359225983	included	1298.470010229787	included	1210.0330314924831	included	1195.0870703205596	included	1.002609277890071	0.9203809567454454	0.9614951173177582	-0.05664856362415817	4 of 4	
YAR075W	-	1001.3613602160199	included	1300.4481242525155	included	1838.935221934516	included	1832.451637455239	included	1.8364351721518488	1.4090924530407654	1.622763812596307	0.6984530361200014	4 of 4	
